合肥工业大学,安徽省合肥市,123456,招生办,周老师,18812343421,peterporker@163.com
合肥工业大学宣城校区,安徽省宣城市,777777,招生办,范老师,12377777777,lskdjsdgwes@163.com
中国科学技术大学,安徽省合肥市,123456,招生办,李老师,12345678765,lskdjlgjs@163.com
合肥学院,安徽省合肥市,123456,招生办,何老师,12345689763,lfjdhiretcv@163.com
宣城职业技术学院,安徽省宣城市,777777,招生办,赵老师,13298763245,wqeoiuths@163.com
安徽大学,安徽省合肥市,123456,招生办,赵老师,13345679876,fdtqowri@163.com
安徽工业大学,安徽省马鞍山市,767676,招生办,钱老师,13245671234,owqiad@163.com
安徽农业大学,安徽省合肥市,123456,招生办,孙老师,18812344321,qworivnjkzn@163.com
蚌埠医学院,安徽省蚌埠市,987654,招生办,李老师,18856788765,vnaehowet@163.com
安庆师范大学,安徽省安庆市,765432,招生办,吴老师,15676543456,sngieruiw@163.com
